,Name,Rating,Review,No_Of_employee,Company_type,Old,Headquarters
26,Samsung,4.1,6.7k, 50k-1 Lakh Employees , Public , 86 years old , Mumbai +498 more
27,Maruti Suzuki,4.1,6.6k, 10k-50k Employees , Public , 43 years old , Mumbai +380 more
28,Ericsson,4.3,6.6k, 10k-50k Employees , Forbes Global 2000 , 148 years old , Mumbai +149 more
29,Shriram Finance,4.1,6.5k, 50k-1 Lakh Employees , Fortune India 500 , 45 years old , Mumbai +948 more
30,Asian Paints,4.0,6.3k, 5k-10k Employees , Public , 82 years old , Mumbai +427 more
31,Yes Bank,3.9,6.3k, 10k-50k Employees , Public , 20 years old , Mumbai +434 more
32,Cipla Pharmaceutical,4.1,6.2k, 10k-50k Employees , Public , 89 years old , Mumbai +232 more
33,Dr. Reddy's,4.1,6k, 10k-50k Employees , Public , 40 years old , Mumbai +161 more
34,Sutherland Global Services,3.6,6k, 10k-50k Employees , 38 years old , Mumbai +55 more,
35,Bandhan Bank,3.7,5.9k, 50k-1 Lakh Employees , Public , 23 years old , Mumbai +749 more
36,UltraTech Cement,4.2,5.9k, 10k-50k Employees , Public , 41 years old , Mumbai +431 more
37,Paytm,3.3,5.8k, 10k-50k Employees , Public , 14 years old , Mumbai +309 more
38,EXL Service,3.8,5.8k, 10k-50k Employees , 25 years old , Mumbai +45 more,
39,NTT DATA,4.0,5.8k, 10k-50k Employees , 36 years old , Mumbai +55 more,
40,ICICI Prudential Life Insurance,4.1,5.6k, 10k-50k Employees , Public , 24 years old , Mumbai +446 more
41,Jana Small Finance Bank,3.7,5.6k, 10k-50k Employees , Public , 18 years old , Bangalore/Bengaluru +347 more
42,Bajaj Finance,4.0,5.5k, 10k-50k Employees , 37 years old , Pune +765 more,
43,Lupin,4.0,5.4k, 1k-5k Employees , Public , 56 years old , Mumbai +164 more
44,Indian Army,4.8,5.4k, 1 Lakh+ Employees , Public , 129 years old , New Delhi +322 more
45,HCL Group,3.6,5.3k, 1 Lakh+ Employees , 48 years old , Chennai +74 more,
46,Udaan,3.9,5.3k, 1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +348 more
47,L&T Infotech,3.7,5.2k, 10k-50k Employees , Public , 28 years old , Mumbai +83 more
48,TATA Steel,4.1,5.2k, 1 Lakh+ Employees , Public , 117 years old , Mumbai +165 more
49,ITC,3.9,5.2k, 10k-50k Employees , Public , 49 years old , Kolkata +303 more
50,Quess,4.0,5.2k, 1k-5k Employees , Public , 17 years old , Bangalore +515 more
51,Wells Fargo,4.0,5.1k, 10k-50k Employees , Public , 172 years old , San Francisco +20 more
